Year,Grid,Date,Larvae/m2,Nymphs/m2,Adults/m2
1995,Henry Experimental,5/3/1995,0.002222222,0.004444444,0.022222222
1995,Henry Experimental,6/1/1995,0.048888889,0.026666667,0.004444444
1995,Henry Experimental,6/26/1995,0.026666667,0.024444444,0
1995,Henry Experimental,8/1/1995,1.995555556,0.042222222,0
1995,Henry Experimental,8/21/1995,1.42,0.004444444,0
1995,Henry Experimental,9/18/1995,0.197777778,0.008888889,0
1995,Henry Experimental,10/19/1995,0.004444444,0,0.042222222
1995,Henry Experimental,12/31/1995,0,0,0
1996,Henry Experimental,5/2/1996,0,0,0.004444444
1996,Henry Experimental,5/28/1996,0.02,0.124444444,0.002222222
1996,Henry Experimental,6/14/1996,,0.148888889,
1996,Henry Experimental,6/26/1996,0.015555556,0.191111111,0
1996,Henry Experimental,7/29/1996,2.702222222,0.102222222,0
1996,Henry Experimental,8/27/1996,9.78,0.051111111,0
1996,Henry Experimental,9/26/1996,5.166666667,0.015555556,0.002222222
1996,Henry Experimental,10/17/1996,0.986666667,0.004444444,0.013333333
1996,Henry Experimental,11/15/1996,0,0,0.004444444
1996,Henry Experimental,12/31/1996,0,0,0
1997,Henry Experimental,4/24/1997,0,0,0.017777778
1997,Henry Experimental,5/22/1997,0.091111111,0.02,0.008888889
1997,Henry Experimental,6/11/1997,0.171111111,0.011111111,0.002222222
1997,Henry Experimental,7/10/1997,0.097777778,0.035555556,0
1997,Henry Experimental,7/22/1997,0.108888889,0.031111111,0
1997,Henry Experimental,8/27/1997,1.753333333,0.004444444,0
1997,Henry Experimental,9/25/1997,0.293333333,0.017777778,0.002222222
1997,Henry Experimental,10/21/1997,0,0,0.073333333
1997,Henry Experimental,12/31/1997,0,0,0
1998,Henry Experimental,5/3/1998,0.045,0.0325,0.02
1998,Henry Experimental,6/4/1998,0.14,0.115,0
1998,Henry Experimental,7/2/1998,0.12,0.135,0
1998,Henry Experimental,8/13/1998,1.86,0.055,0
1998,Henry Experimental,8/31/1998,0.96,0.03,0
1998,Henry Experimental,9/30/1998,0.2375,0.015,0.0025
1998,Henry Experimental,10/27/1998,0.0025,0,0.015
1998,Henry Experimental,12/31/1998,0,0,0
1999,Henry Experimental,4/19/1999,0,0,0.008888889
1999,Henry Experimental,5/26/1999,0.435555556,0.073333333,0.004444444
1999,Henry Experimental,6/21/1999,0.015555556,0.057777778,0
1999,Henry Experimental,7/12/1999,0.188888889,0.037777778,0
1999,Henry Experimental,8/2/1999,0.175555556,0.017777778,0
1999,Henry Experimental,9/1/1999,0.653333333,0.002222222,0
1999,Henry Experimental,10/7/1999,0.128888889,0.004444444,0.013333333
1999,Henry Experimental,10/25/1999,0.004444444,0,0.026666667
2000,Henry Experimental,4/25/2000,0,0,0.015555556
2000,Henry Experimental,6/1/2000,0.115555556,0.275555556,0
2000,Henry Experimental,6/23/2000,0.142222222,0.162222222,0
2000,Henry Experimental,7/10/2000,0.04,0.117777778,0
2000,Henry Experimental,8/15/2000,2.504444444,0.077777778,0
