,Date,larvae/m2,nymphs/m2,adults/m2,n_larvae,n_nymphs,n_adults
Green Con,4/30/1998,0,0,0.002222222,0,0,1
Green Con,6/3/1998,0.2,0.042222222,0.002222222,90,19,1
Green Con,7/3/1998,0.02,0.033333333,0,9,15,0
Green Con,8/6/1998,0.477777778,0.002222222,0,215,1,0
Green Con,8/31/1998,0.66,0.002222222,0,297,1,0
Green Con,10/3/1998,0.417777778,0.004444444,0.004444444,188,2,2
Green Con,10/28/1998,0.048888889,0,0.037777778,22,0,17
Green Exp,4/30/1998,0,0.002222222,0,0,1,0
Green Exp,6/4/1998,0.126666667,0.028888889,0,57,13,0
Green Exp,7/3/1998,0.022222222,0.035555556,0,10,16,0
Green Exp,8/7/1998,0.671111111,0.004444444,0,302,2,0
Green Exp,9/3/1998,0.664444444,0.008888889,0,299,4,0
Green Exp,10/2/1998,0.071111111,0.006666667,0,32,3,0
Green Exp,10/28/1998,0.006666667,0.006666667,0.008888889,3,3,4
Henry Con,5/3/1998,0.02,0.011111111,0.008888889,9,5,4
Henry Con,6/4/1998,0.286666667,0.113333333,0.002222222,129,51,1
Henry Con,7/2/1998,0.5,0.073333333,0,225,33,0
Henry Con,8/13/1998,1.535555556,0.046666667,0,691,21,0
Henry Con,8/28/1998,1.484444444,0.015555556,0,668,7,0
Henry Con,10/2/1998,0.126666667,0.006666667,0,57,3,0
Henry Con,10/27/1998,0.011111111,0.002222222,0.026666667,5,1,12
Henry Exp,5/3/1998,0.04,0.028888889,0.017777778,18,13,8
Henry Exp,6/4/1998,0.124444444,0.102222222,0,56,46,0
Henry Exp,7/2/1998,0.106666667,0.12,0,48,54,0
Henry Exp,8/13/1998,1.653333333,0.048888889,0,744,22,0
Henry Exp,8/31/1998,0.853333333,0.026666667,0,384,12,0
Henry Exp,9/30/1998,0.211111111,0.013333333,0.002222222,95,6,1
Henry Exp,10/27/1998,0.002222222,0,0.013333333,1,0,6
Tea Con,5/5/1998,0.057777778,0.022222222,0.035555556,26,10,16
Tea Con,6/4/1998,0.213333333,0.1,0.006666667,96,45,3
Tea Con,7/6/1998,0.053333333,0.102222222,0.004444444,24,46,2
Tea Con,8/11/1998,1.757777778,0.028888889,0,791,13,0
Tea Con,8/24/1998,0.895555556,0.024444444,0,403,11,0
Tea Con,10/3/1998,0.024444444,0.008888889,0.004444444,11,4,2
Tea Con,10/27/1998,0.002222222,0,0.053333333,1,0,24
Tea Exp,5/5/1998,0.002222222,0.031111111,0.044444444,1,14,20
Tea Exp,6/4/1998,0.048888889,0.068888889,0.004444444,22,31,2
Tea Exp,7/6/1998,0.051111111,0.1,0,23,45,0
Tea Exp,8/5/1998,0.951111111,0.046666667,0,428,21,0
Tea Exp,8/27/1998,1.264444444,0.02,0,569,9,0
Tea Exp,10/3/1998,0.06,0.006666667,0.013333333,27,3,6
Tea Exp,10/27/1998,0.004444444,0.002222222,0.053333333,2,1,24
