Site,Species,Date,area (sq. m),Adults,Nymphs,Larvae,Lat,Long
Stunt,Ixodes pacificus,12/21/13,2500,0,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,02/02/14,2500,23,0,88,34.09274,-118.658026
Stunt,Ixodes pacificus,03/09/14,2500,19,7,623,34.09274,-118.658026
Stunt,Ixodes pacificus,04/10/14,2500,5,10,255,34.09274,-118.658026
Stunt,Ixodes pacificus,05/03/14,2500,0,13,125,34.09274,-118.658026
Stunt,Ixodes pacificus,05/30/14,2500,0,13,8,34.09274,-118.658026
Stunt,Ixodes pacificus,06/20/14,2500,0,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,12/15/14,2500,0,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,02/05/15,2500,6,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,02/27/15,2500,2,4,9,34.09274,-118.658026
Stunt,Ixodes pacificus,04/16/15,2500,3,8,3,34.09274,-118.658026
Stunt,Ixodes pacificus,05/10/15,2500,0,8,3,34.09274,-118.658026
Stunt,Ixodes pacificus,06/05/15,2500,0,8,0,34.09274,-118.658026
Stunt,Ixodes pacificus,06/20/15,2500,0,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,01/05/16,2500,0,0,0,34.09274,-118.658026
Stunt,Ixodes pacificus,03/15/16,2500,44,2,73,34.09274,-118.658026
Stunt,Ixodes pacificus,04/22/16,2500,7,5,43,34.09274,-118.658026
